
Predictions were generated on 17-Jul-2019 at 13:03:04 using OpenFAST, compiled as a 64-bit application using double precision at commit v2.1.0-130-g2d9230df-dirty
 linked with  NWTC Subroutine Library; ElastoDyn

Description from the FAST input file: FAST Certification Test #01: AWT-27CR2 with many DOFs with fixed yaw error and steady wind

Time      	HSShftPwr 	HSShftTq  	HSShftV   	LSSGagFxs 	LSSGagFys 	LSSGagFzs 	LSSGagV   	LSShftPwr 	LSShftTq  	RootFxb3  	RootFyb3  	RootMEdg3 	RootMFlp3 	RotSpeed  	Spn4MLxb1 	Spn4MLyb1 	Spn5ALxb1 	Spn5ALyb1 	TipDxb3   	TipDyb3   	TipRDxb3  	TipRDyb3  
(s)       	(kW)      	(kN-m)    	(rpm)     	(kN)      	(kN)      	(kN)      	(rpm)     	(kW)      	(kN-m)    	(kN)      	(kN)      	(kN-m)    	(kN-m)    	(rpm)     	(kN-m)    	(kN-m)    	(m/s^2)   	(m/s^2)   	(m)       	(m)       	(deg)     	(deg)     
   10.4800	 5.233E-13	 4.868E-08	 1.026E-04	 1.364E-06	-2.665E-07	-6.684E+00	 3.634E-06	 5.362E-13	 1.375E-06	-1.072E-01	 1.227E+00	-3.539E+00	-3.089E-01	 3.723E-06	-1.465E-03	 2.767E-02	 1.272E-04	-5.503E-06	-2.659E-03	 5.173E-03	-7.246E-02	-4.205E-02
   10.5000	 3.853E-13	 3.556E-08	 1.035E-04	-1.418E-06	 2.586E-08	-6.684E+00	 3.662E-06	 3.902E-13	 1.005E-06	-1.072E-01	 1.227E+00	-3.539E+00	-3.089E-01	 3.709E-06	-1.465E-03	 2.767E-02	 1.763E-04	-6.571E-06	-2.659E-03	 5.173E-03	-7.246E-02	-4.205E-02
   10.5200	 1.777E-13	 1.632E-08	 1.040E-04	-3.754E-06	 3.032E-07	-6.684E+00	 3.680E-06	 1.773E-13	 4.611E-07	-1.072E-01	 1.227E+00	-3.539E+00	-3.089E-01	 3.672E-06	-1.465E-03	 2.767E-02	 1.790E-04	-5.989E-06	-2.659E-03	 5.173E-03	-7.246E-02	-4.206E-02
   10.5400	-4.291E-14	-3.937E-09	 1.041E-04	-5.061E-06	 4.949E-07	-6.684E+00	 3.684E-06	-4.223E-14	-1.112E-07	-1.072E-01	 1.227E+00	-3.539E+00	-3.089E-01	 3.626E-06	-1.465E-03	 2.767E-02	 1.360E-04	-3.960E-06	-2.659E-03	 5.173E-03	-7.246E-02	-4.206E-02
   10.5600	-2.175E-13	-2.000E-08	 1.038E-04	-5.034E-06	 5.547E-07	-6.684E+00	 3.676E-06	-2.120E-13	-5.651E-07	-1.072E-01	 1.227E+00	-3.539E+00	-3.089E-01	 3.583E-06	-1.465E-03	 2.767E-02	 5.977E-05	-1.050E-06	-2.660E-03	 5.173E-03	-7.246E-02	-4.207E-02
   10.5800	-3.019E-13	-2.789E-08	 1.034E-04	-3.720E-06	 4.710E-07	-6.684E+00	 3.659E-06	-2.935E-13	-7.879E-07	-1.072E-01	 1.227E+00	-3.539E+00	-3.090E-01	 3.557E-06	-1.464E-03	 2.767E-02	-2.918E-05	 1.972E-06	-2.660E-03	 5.173E-03	-7.246E-02	-4.207E-02
   10.6000	-2.782E-13	-2.583E-08	 1.028E-04	-1.494E-06	 2.694E-07	-6.684E+00	 3.640E-06	-2.717E-13	-7.296E-07	-1.072E-01	 1.227E+00	-3.539E+00	-3.090E-01	 3.555E-06	-1.464E-03	 2.768E-02	-1.078E-04	 4.331E-06	-2.660E-03	 5.173E-03	-7.246E-02	-4.207E-02
   10.6200	-1.570E-13	-1.464E-08	 1.024E-04	 1.048E-06	 4.803E-09	-6.684E+00	 3.626E-06	-1.550E-13	-4.135E-07	-1.072E-01	 1.227E+00	-3.539E+00	-3.090E-01	 3.580E-06	-1.464E-03	 2.768E-02	-1.564E-04	 5.451E-06	-2.660E-03	 5.173E-03	-7.246E-02	-4.207E-02
   10.6400	 2.730E-14	 2.548E-09	 1.023E-04	 3.246E-06	-2.533E-07	-6.684E+00	 3.622E-06	 2.732E-14	 7.197E-08	-1.072E-01	 1.227E+00	-3.539E+00	-3.089E-01	 3.624E-06	-1.464E-03	 2.768E-02	-1.637E-04	 5.088E-06	-2.660E-03	 5.173E-03	-7.246E-02	-4.207E-02
   10.6600	 2.271E-13	 2.115E-08	 1.025E-04	 4.548E-06	-4.392E-07	-6.684E+00	 3.630E-06	 2.302E-13	 5.975E-07	-1.072E-01	 1.227E+00	-3.539E+00	-3.089E-01	 3.679E-06	-1.464E-03	 2.768E-02	-1.290E-04	 3.385E-06	-2.659E-03	 5.173E-03	-7.246E-02	-4.206E-02
   10.6800	 3.927E-13	 3.637E-08	 1.031E-04	 4.648E-06	-5.074E-07	-6.684E+00	 3.650E-06	 4.016E-13	 1.028E-06	-1.072E-01	 1.227E+00	-3.539E+00	-3.089E-01	 3.732E-06	-1.464E-03	 2.768E-02	-6.263E-05	 8.195E-07	-2.659E-03	 5.173E-03	-7.246E-02	-4.206E-02
